"Date","NumberSlaughteredCATTLEexclcalvesTotalState","NumberSlaughteredCATTLEexclcalvesNewSouthWales","NumberSlaughteredCATTLEexclcalvesVictoria","NumberSlaughteredCATTLEexclcalvesQueensland","NumberSlaughteredCATTLEexclcalvesSouthAustralia","NumberSlaughteredCATTLEexclcalvesWesternAustralia","NumberSlaughteredCATTLEexclcalvesTasmania"
1972-09-01,"1712.8","475.1","469.2","501.1","77","108.5","46.1"
1972-12-01,"1550.4","479.4","500.9","301.60000000000002","85.9","114.7","48.7"
1973-03-01,"1774.5","556.79999999999995","534.4","388.7","93.2","124.9","64.8"
1973-06-01,"1796.1","559.79999999999995","450.7","484.2","80.8","114.8","75.2"
1973-09-01,"1929","527.1","529","523.6","92.4","148.19999999999999","71.900000000000006"
1973-12-01,"1586","441.3","473.9","369.5","83.9","139.30000000000001","54.7"
1974-03-01,"1233.9000000000001","377.9","391.7","223.3","74.5","102.3","52.3"
1974-06-01,"1316.1","369.7","354.8","371","65.3","87.8","51"
1974-09-01,"1338","424.2","370.2","275.60000000000002","65.2","132.1","40.5"
1974-12-01,"1857.1","524.20000000000005","493","506.1","98.1","150.30000000000001","58.4"
1975-03-01,"1718","533.70000000000005","483.8","390.2","113.7","122.1","60.6"
1975-06-01,"2002.4","601.9","516.20000000000005","568","111.8","121.2","65.099999999999994"
1975-09-01,"2065","623.6","484.9","571.70000000000005","112","178.4","59.5"
1975-12-01,"1929.9","627","503.7","445.1","99.3","169.3","65.2"
1976-03-01,"2107.3000000000002","652","602","451.8","125.6","185","74.8"
1976-06-01,"2404.3000000000002","697.1","637","616.20000000000005","133.4","213","84"
1976-09-01,"2350.8000000000002","687.5","599.79999999999995","611.20000000000005","131.5","219.1","63"
1976-12-01,"2075.5","638.70000000000005","549.29999999999995","464.2","131.6","206.4","59.8"
1977-03-01,"2411.1","807.5","600.20000000000005","556.6","148.1","210.5","73.400000000000006"
1977-06-01,"2661.3","862.1","611.20000000000005","684.9","167.9","208.7","88.6"
1977-09-01,"2723.9","852.8","676","715.6","162.30000000000001","201.5","68.099999999999994"
1977-12-01,"2531.1","784.5","702.5","558.9","171.6","204.7","68.900000000000006"
1978-03-01,"2487.3000000000002","803.1","698.9","529.5","172","186.9","77.8"
1978-06-01,"2692.1","848","606.4","783.7","138.19999999999999","184.5","79"
1978-09-01,"2521.5","760.2","497.3","821.3","133.30000000000001","194.3","56.4"
1978-12-01,"2457.8000000000002","766.3","542.9","691.5","165.9","190.9","56.2"
1979-03-01,"2463.4","808.5","584.4","655.4","166","169.4","58.9"
1979-06-01,"2083.9","562.6","398.8","765.9","102.5","150.9","55.3"
1979-09-01,"1917.5","475.2","332.7","722.8","104.6","171.1","36.700000000000003"
1979-12-01,"1797.3","570.1","395.2","469.4","120.9","149.80000000000001","40.6"
1980-03-01,"1628.5","578.6","338.6","365.9","127.7","131.1","55"
1980-06-01,"2008.1","539.4","407.2","719.4","84.7","131.4","46.2"
1980-09-01,"2007.9","452.6","369.3","724.6","123.1","187.2","35.299999999999997"
1980-12-01,"1675.8","507.9","423.2","363.4","131","151.4","41.6"
1981-03-01,"1439.8","418.5","447.2","259.8","107.8","139.69999999999999","52"
1981-06-01,"1849.5","484.5","430.3","548.79999999999995","111","154.5","53.1"
1981-09-01,"1757.9","352.1","337.5","678.1","107.3","167.6","38"
1981-12-01,"1604.4","371.7","383.3","500.6","121.2","147.19999999999999","41.9"
1982-03-01,"1813.4","456.2","515.70000000000005","452.5","150.80000000000001","160.69999999999999","59.5"
1982-06-01,"2042.6","460.6","447.4","726.8","125.9","161.19999999999999","58.6"
1982-09-01,"2139.8000000000002","482.3","468.7","699.6","162.1","194.8","45.4"
1982-12-01,"1794.6","501.5","461.8","413.9","157.9","160.5","56.9"
